순위,제목,저자,역자,출판사,쪽수,발행일,가격
1,저주토끼,정보라,-,아작,328,20220401,13320
2,긴긴밤,루리,-,문학동네,144,20210203,10350
3,웰씽킹(10만 부 기념 한정판 골드 에디션),켈리 최,-,다산북스,316,20211110,14400
3,럭키(10만부 기념 황금열쇠 양장 특별판),김도윤,-,북로망스,280,20210825,14400
5,꽃샘바람에 흔들린다면 너는 꽃,류시화,-,수오서재,160,20220411,12150
5,불편한 편의점(40만부 기념 벚꽃 에디션),김호연,-,나무옆의자,268,20210420,12600
7,김학렬의 부동산 투자 절대 원칙,김학렬(빠숑),-,에프엔미디어,540,20220412,22500
7,파이어 FIRE,강환국,-,페이지2북스,428,20220408,16200
7,파이어족 강환국의 하면 된다! 퀀트 투자,강환국,-,에프엔미디어,392,20210915,16830
10,머니 체인저,문준희,-,마인드셋(Mindset),284,20220411,14400
10,세계 헤어웨어 이야기,"원종훈, 김영휴",-,아마존북스,328,20220110,15300
10,"2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(하)",최태성,-,이투스북,304,20211209,13050
10,"2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(상)",최태성,-,이투스북,320,20211209,13500
14,진짜 쓰는 실무 엑셀,오빠두(전진권),-,제이펍,508,20220215,18900
14,2022 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1.2.3급),최태성,-,이투스북,392,20211221,17550
