순위,제목,가수,앨범명
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2,LOVE DIVE,IVE (아이브),LOVE DIVE
3,TOMBOY,(여자)아이들,I NEVER DIE
4,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
5,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6,GANADARA (Feat. 아이유),박재범,GANADARA
7,듣고 싶을까,MSG워너비 (M.O.M),듣고 싶을까
8,취중고백,김민석 (멜로망스),취중고백
9,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
10,INVU,태연 (TAEYEON),INVU - The 3rd Album
11,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
12,LOVE me,BE'O (비오),LOVE me
13,신호등,이무진,신호등
14,abcdefu,GAYLE,abcdefu
15,ELEVEN,IVE (아이브),ELEVEN
16,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
17,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
18,"스물다섯, 스물하나",자우림,"Goodbye, grief."
19,Stay,The Kid LAROI & Justin Bieber,Stay
20,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
21,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
22,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
23,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
24,어제처럼,폴킴,어제처럼
25,너의 번호를 누르고,김나영,너의 번호를 누르고
26,그대라는 사치,임영웅,사랑의 콜센타 PART62
27,strawberry moon,아이유 (IU),strawberry moon
28,RUN2U,STAYC (스테이씨),YOUNG-LUV.COM
29,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
30,잊었니,임영웅,사랑의 콜센타 PART60
31,끝사랑,임영웅,사랑의 콜센타 PART61
32,라일락,아이유 (IU),IU 5th Album 'LILAC'
33,HERO,임영웅,HERO
34,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
35,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
36,MY BAG,(여자)아이들,I NEVER DIE
37,Bk Love,임영웅,뽕숭아학당 PART23
38,호랑수월가,탑현,호랑수월가
39,Next Level,aespa,Next Level
40,고백,멜로망스 (MeloMance),세 번째 '고백'
41,Bad Habits,Ed Sheeran,=
42,내가 아니라도,주호,내가 아니라도
43,SMILEY (Feat. BIBI),YENA (최예나),SMiLEY
44,너를 생각해,주시크 (Joosiq),너를 생각해
45,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
46,Weekend,태연 (TAEYEON),Weekend
47,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
48,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
49,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
50,서랍,10CM,그 해 우리는 OST Part.1
