시도명,시군구명,빽다방,스타벅스,이디야,커피빈
강원도,강릉시,2.0,4.0,17.0,0.0
강원도,고성군,0.0,1.0,0.0,0.0
강원도,동해시,1.0,1.0,1.0,1.0
강원도,삼척시,1.0,0.0,5.0,0.0
강원도,속초시,0.0,4.0,9.0,0.0
강원도,양구군,0.0,0.0,1.0,0.0
강원도,양양군,0.0,0.0,2.0,0.0
강원도,영월군,0.0,0.0,1.0,0.0
강원도,원주시,3.0,8.0,15.0,1.0
강원도,인제군,0.0,2.0,3.0,0.0
강원도,정선군,0.0,0.0,1.0,0.0
강원도,철원군,0.0,0.0,2.0,0.0
강원도,춘천시,3.0,9.0,27.0,0.0
강원도,태백시,1.0,0.0,1.0,0.0
강원도,평창군,0.0,3.0,2.0,0.0
강원도,홍천군,1.0,2.0,3.0,0.0
강원도,화천군,2.0,0.0,1.0,0.0
강원도,횡성군,0.0,1.0,1.0,0.0
경기도,가평군,0.0,2.0,8.0,0.0
경기도,덕양구,9.0,11.0,17.0,1.0
경기도,일산동구,6.0,11.0,12.0,1.0
경기도,일산서구,3.0,15.0,11.0,1.0
경기도,과천시,0.0,3.0,2.0,0.0
경기도,광명시,3.0,10.0,8.0,1.0
경기도,광주시,4.0,6.0,14.0,0.0
경기도,구리시,3.0,4.0,10.0,0.0
경기도,군포시,9.0,5.0,7.0,1.0
경기도,김포시,13.0,14.0,17.0,2.0
경기도,남양주시,7.0,12.0,43.0,1.0
경기도,동두천시,1.0,2.0,2.0,0.0
경기도,부천시,13.0,16.0,26.0,5.0
경기도,분당구,10.0,45.0,15.0,6.0
경기도,수정구,6.0,3.0,11.0,1.0
경기도,중원구,6.0,2.0,9.0,1.0
경기도,권선구,4.0,8.0,11.0,1.0
경기도,영통구,4.0,13.0,15.0,3.0
경기도,장안구,5.0,4.0,4.0,3.0
경기도,팔달구,5.0,8.0,6.0,2.0
경기도,시흥시,9.0,8.0,17.0,0.0
경기도,단원구,7.0,5.0,25.0,0.0
경기도,상록구,2.0,2.0,15.0,0.0
경기도,안성시,0.0,6.0,4.0,0.0
경기도,동안구,3.0,14.0,14.0,1.0
경기도,만안구,7.0,4.0,9.0,1.0
경기도,양주시,2.0,7.0,16.0,0.0
경기도,양평군,1.0,3.0,4.0,0.0
경기도,여주시,0.0,2.0,4.0,1.0
경기도,연천군,0.0,0.0,1.0,2.0
경기도,오산시,2.0,6.0,8.0,0.0
경기도,기흥구,8.0,12.0,22.0,1.0
경기도,수지구,5.0,9.0,16.0,1.0
경기도,처인구,2.0,5.0,9.0,1.0
경기도,의왕시,3.0,2.0,4.0,0.0
경기도,의정부시,6.0,10.0,22.0,0.0
경기도,이천시,2.0,8.0,9.0,1.0
경기도,파주시,9.0,8.0,20.0,1.0
경기도,평택시,6.0,7.0,19.0,2.0
경기도,포천시,0.0,5.0,11.0,0.0
경기도,하남시,3.0,10.0,27.0,1.0
경기도,화성시,17.0,19.0,28.0,5.0
경상남도,거제시,0.0,6.0,9.0,0.0
경상남도,거창군,1.0,0.0,1.0,0.0
경상남도,고성군,2.0,0.0,1.0,0.0
경상남도,김해시,3.0,13.0,30.0,1.0
경상남도,남해군,0.0,0.0,1.0,0.0
경상남도,밀양시,0.0,3.0,6.0,0.0
경상남도,사천시,0.0,2.0,4.0,0.0
경상남도,산청군,0.0,1.0,1.0,0.0
경상남도,양산시,1.0,7.0,9.0,0.0
경상남도,진주시,10.0,7.0,18.0,1.0
경상남도,창녕군,0.0,1.0,2.0,0.0
경상남도,마산합포구,0.0,4.0,6.0,1.0
경상남도,마산회원구,0.0,6.0,4.0,0.0
경상남도,성산구,2.0,10.0,13.0,3.0
경상남도,의창구,0.0,4.0,8.0,0.0
경상남도,진해구,1.0,2.0,6.0,1.0
경상남도,통영시,3.0,1.0,0.0,1.0
경상남도,하동군,1.0,1.0,0.0,0.0
경상남도,함안군,0.0,0.0,1.0,2.0
경상남도,함양군,1.0,0.0,1.0,0.0
경상남도,합천군,0.0,0.0,1.0,0.0
경상북도,경산시,4.0,8.0,8.0,0.0
경상북도,경주시,1.0,7.0,25.0,2.0
경상북도,고령군,1.0,1.0,1.0,0.0
경상북도,구미시,5.0,10.0,15.0,0.0
경상북도,김천시,1.0,2.0,2.0,0.0
경상북도,문경시,1.0,1.0,4.0,0.0
경상북도,상주시,0.0,0.0,2.0,1.0
경상북도,성주군,0.0,1.0,1.0,0.0
경상북도,안동시,1.0,5.0,6.0,0.0
경상북도,영덕군,0.0,1.0,2.0,1.0
경상북도,영양군,0.0,1.0,0.0,0.0
경상북도,영주시,1.0,0.0,2.0,0.0
경상북도,영천시,2.0,0.0,2.0,0.0
경상북도,예천군,1.0,0.0,1.0,0.0
경상북도,울진군,1.0,0.0,3.0,1.0
경상북도,청도군,0.0,1.0,1.0,0.0
경상북도,청송군,0.0,1.0,1.0,1.0
경상북도,칠곡군,2.0,0.0,6.0,0.0
경상북도,남구,2.0,8.0,6.0,0.0
경상북도,북구,3.0,5.0,12.0,1.0
광주광역시,광산구,4.0,14.0,20.0,0.0
광주광역시,남구,2.0,11.0,9.0,2.0
광주광역시,동구,4.0,9.0,2.0,1.0
광주광역시,북구,3.0,12.0,16.0,0.0
광주광역시,서구,1.0,11.0,13.0,1.0
대구광역시,남구,0.0,3.0,6.0,0.0
대구광역시,달서구,8.0,18.0,16.0,0.0
대구광역시,달성군,3.0,4.0,10.0,0.0
대구광역시,동구,3.0,9.0,9.0,0.0
대구광역시,북구,5.0,5.0,10.0,0.0
대구광역시,서구,1.0,2.0,3.0,0.0
대구광역시,수성구,4.0,19.0,10.0,1.0
대구광역시,중구,4.0,9.0,7.0,3.0
대전광역시,대덕구,2.0,5.0,4.0,0.0
대전광역시,동구,6.0,5.0,2.0,0.0
대전광역시,서구,17.0,22.0,13.0,1.0
대전광역시,유성구,9.0,12.0,12.0,1.0
대전광역시,중구,7.0,5.0,3.0,0.0
부산광역시,강서구,0.0,3.0,8.0,1.0
부산광역시,금정구,1.0,8.0,7.0,0.0
부산광역시,기장군,0.0,4.0,5.0,1.0
부산광역시,남구,1.0,6.0,13.0,0.0
부산광역시,동구,0.0,4.0,1.0,1.0
부산광역시,동래구,1.0,5.0,13.0,0.0
부산광역시,부산진구,3.0,19.0,8.0,1.0
부산광역시,북구,3.0,2.0,7.0,1.0
부산광역시,사상구,0.0,3.0,4.0,0.0
부산광역시,사하구,1.0,8.0,8.0,0.0
부산광역시,서구,0.0,2.0,2.0,0.0
부산광역시,수영구,0.0,6.0,5.0,1.0
부산광역시,연제구,0.0,6.0,8.0,0.0
부산광역시,영도구,0.0,1.0,2.0,0.0
부산광역시,중구,3.0,8.0,4.0,3.0
부산광역시,해운대구,2.0,33.0,7.0,4.0
서울특별시,강남구,9.0,76.0,23.0,39.0
서울특별시,강동구,8.0,13.0,14.0,6.0
서울특별시,강북구,4.0,5.0,11.0,0.0
서울특별시,강서구,10.0,16.0,34.0,5.0
서울특별시,관악구,7.0,11.0,21.0,2.0
서울특별시,광진구,6.0,17.0,12.0,3.0
서울특별시,구로구,8.0,10.0,18.0,2.0
서울특별시,금천구,1.0,11.0,17.0,2.0
서울특별시,노원구,8.0,11.0,17.0,2.0
서울특별시,도봉구,4.0,2.0,12.0,0.0
서울특별시,동대문구,3.0,9.0,16.0,3.0
서울특별시,동작구,2.0,11.0,10.0,1.0
서울특별시,마포구,6.0,26.0,22.0,7.0
서울특별시,서대문구,4.0,17.0,12.0,4.0
서울특별시,서초구,4.0,38.0,14.0,23.0
서울특별시,성동구,9.0,5.0,13.0,1.0
서울특별시,성북구,10.0,15.0,17.0,3.0
서울특별시,송파구,7.0,33.0,28.0,7.0
서울특별시,양천구,1.0,14.0,15.0,4.0
서울특별시,영등포구,6.0,28.0,25.0,7.0
서울특별시,용산구,4.0,18.0,10.0,3.0
서울특별시,은평구,6.0,6.0,18.0,2.0
서울특별시,종로구,3.0,27.0,11.0,13.0
서울특별시,중구,5.0,42.0,13.0,7.0
서울특별시,중랑구,6.0,6.0,13.0,1.0
세종특별자치시,세종특별자치시,6.0,7.0,14.0,0.0
울산광역시,남구,7.0,14.0,29.0,1.0
울산광역시,동구,1.0,2.0,7.0,0.0
울산광역시,북구,1.0,5.0,16.0,0.0
울산광역시,울주군,0.0,1.0,10.0,0.0
울산광역시,중구,0.0,6.0,12.0,1.0
인천광역시,강화군,1.0,1.0,1.0,0.0
인천광역시,계양구,6.0,4.0,14.0,0.0
인천광역시,남동구,12.0,12.0,26.0,1.0
인천광역시,동구,1.0,2.0,1.0,0.0
인천광역시,미추홀구,4.0,10.0,13.0,0.0
인천광역시,부평구,6.0,9.0,22.0,1.0
인천광역시,서구,16.0,10.0,23.0,0.0
인천광역시,연수구,10.0,14.0,15.0,5.0
인천광역시,옹진군,0.0,1.0,2.0,0.0
인천광역시,중구,7.0,4.0,11.0,2.0
전라남도,강진군,0.0,0.0,1.0,0.0
전라남도,고흥군,0.0,0.0,2.0,0.0
전라남도,곡성군,0.0,0.0,1.0,0.0
전라남도,광양시,2.0,2.0,9.0,0.0
전라남도,구례군,0.0,0.0,1.0,0.0
전라남도,나주시,3.0,1.0,4.0,0.0
전라남도,담양군,0.0,0.0,1.0,0.0
전라남도,목포시,9.0,5.0,11.0,0.0
전라남도,무안군,3.0,1.0,5.0,0.0
전라남도,순천시,3.0,5.0,19.0,0.0
전라남도,신안군,0.0,0.0,1.0,0.0
전라남도,여수시,3.0,8.0,18.0,0.0
전라남도,영광군,0.0,0.0,3.0,0.0
전라남도,영암군,1.0,0.0,2.0,0.0
전라남도,완도군,0.0,0.0,1.0,0.0
전라남도,장성군,0.0,0.0,1.0,0.0
전라남도,장흥군,0.0,0.0,1.0,0.0
전라남도,진도군,0.0,1.0,0.0,0.0
전라남도,함평군,0.0,0.0,1.0,0.0
전라남도,해남군,1.0,0.0,2.0,0.0
전라남도,화순군,1.0,0.0,1.0,0.0
전라북도,고창군,1.0,0.0,1.0,0.0
전라북도,군산시,1.0,4.0,8.0,0.0
전라북도,김제시,1.0,0.0,1.0,0.0
전라북도,남원시,1.0,0.0,1.0,0.0
전라북도,무주군,0.0,0.0,1.0,0.0
전라북도,부안군,1.0,1.0,4.0,0.0
전라북도,순창군,0.0,0.0,1.0,0.0
전라북도,완주군,0.0,0.0,4.0,0.0
전라북도,익산시,3.0,4.0,8.0,0.0
전라북도,임실군,0.0,1.0,1.0,0.0
전라북도,장수군,0.0,0.0,1.0,0.0
전라북도,덕진구,9.0,6.0,20.0,0.0
전라북도,완산구,8.0,10.0,14.0,1.0
전라북도,정읍시,2.0,0.0,2.0,0.0
전라북도,진안군,1.0,0.0,1.0,0.0
제주특별자치도,서귀포시,9.0,10.0,7.0,0.0
제주특별자치도,제주시,10.0,15.0,11.0,2.0
충청남도,계룡시,0.0,1.0,0.0,0.0
충청남도,공주시,1.0,2.0,4.0,0.0
충청남도,금산군,1.0,0.0,1.0,1.0
충청남도,논산시,1.0,2.0,2.0,0.0
충청남도,당진시,3.0,2.0,7.0,0.0
충청남도,보령시,1.0,1.0,1.0,0.0
충청남도,부여군,0.0,0.0,2.0,0.0
충청남도,서산시,1.0,3.0,8.0,0.0
충청남도,서천군,0.0,2.0,2.0,0.0
충청남도,아산시,9.0,5.0,9.0,0.0
충청남도,예산군,1.0,1.0,3.0,0.0
충청남도,동남구,7.0,5.0,6.0,1.0
충청남도,서북구,11.0,13.0,15.0,0.0
충청남도,청양군,0.0,1.0,1.0,0.0
충청남도,태안군,1.0,0.0,2.0,0.0
충청남도,홍성군,3.0,0.0,2.0,0.0
충청북도,괴산군,0.0,0.0,2.0,0.0
충청북도,단양군,0.0,0.0,1.0,0.0
충청북도,보은군,1.0,1.0,1.0,0.0
충청북도,영동군,1.0,0.0,1.0,0.0
충청북도,옥천군,1.0,0.0,1.0,0.0
충청북도,음성군,0.0,2.0,3.0,0.0
충청북도,제천시,0.0,2.0,9.0,1.0
충청북도,증평군,1.0,1.0,4.0,0.0
충청북도,진천군,2.0,0.0,4.0,0.0
충청북도,상당구,2.0,4.0,8.0,1.0
충청북도,서원구,5.0,4.0,7.0,0.0
충청북도,청원구,5.0,3.0,8.0,0.0
충청북도,흥덕구,6.0,8.0,17.0,0.0
충청북도,충주시,2.0,4.0,8.0,0.0
경상북도,의성군,0.0,0.0,0.0,0.0
경상북도,군위군,0.0,0.0,0.0,0.0
경상남도,의령군,0.0,0.0,0.0,0.0
