,도시,시간,온도,체감온도,습도
0,Asia/Seoul,1651449600,283.76,282.89,77
1,Asia/Seoul,1651453200,284.0,283.13,76
2,Asia/Seoul,1651456800,284.35,283.46,74
3,Asia/Seoul,1651460400,284.37,283.38,70
4,Asia/Seoul,1651464000,284.41,283.37,68
5,Asia/Seoul,1651467600,284.58,283.55,68
6,Asia/Seoul,1651471200,284.41,283.29,65
7,Asia/Seoul,1651474800,284.08,282.93,65
8,Asia/Seoul,1651478400,284.03,282.92,67
9,Asia/Seoul,1651482000,284.01,282.9,67
10,Asia/Seoul,1651485600,283.92,282.83,68
11,Asia/Seoul,1651489200,283.93,282.89,70
12,Asia/Seoul,1651492800,284.03,283.05,72
13,Asia/Seoul,1651496400,283.81,282.86,74
14,Asia/Seoul,1651500000,283.75,282.85,76
15,Asia/Seoul,1651503600,283.64,282.73,76
16,Asia/Seoul,1651507200,283.74,282.73,72
17,Asia/Seoul,1651510800,283.84,282.71,67
18,Asia/Seoul,1651514400,283.91,282.69,63
19,Asia/Seoul,1651518000,283.88,282.65,63
20,Asia/Seoul,1651521600,283.93,282.66,61
21,Asia/Seoul,1651525200,284.01,282.77,62
22,Asia/Seoul,1651528800,284.05,282.79,61
23,Asia/Seoul,1651532400,284.2,282.93,60
24,Asia/Seoul,1651536000,284.25,282.98,60
25,Asia/Seoul,1651539600,284.14,282.91,62
26,Asia/Seoul,1651543200,284.05,282.89,65
27,Asia/Seoul,1651546800,284.06,282.9,65
28,Asia/Seoul,1651550400,284.03,282.95,68
29,Asia/Seoul,1651554000,284.06,283.03,70
30,Asia/Seoul,1651557600,284.4,283.41,70
31,Asia/Seoul,1651561200,284.42,283.43,70
32,Asia/Seoul,1651564800,284.44,283.48,71
33,Asia/Seoul,1651568400,284.53,283.63,73
34,Asia/Seoul,1651572000,284.33,283.44,74
35,Asia/Seoul,1651575600,284.38,283.49,74
36,Asia/Seoul,1651579200,284.47,283.59,74
37,Asia/Seoul,1651582800,284.41,283.52,74
38,Asia/Seoul,1651586400,284.47,283.59,74
39,Asia/Seoul,1651590000,284.4,283.51,74
40,Asia/Seoul,1651593600,284.42,283.56,75
41,Asia/Seoul,1651597200,284.41,283.55,75
42,Asia/Seoul,1651600800,284.41,283.58,76
43,Asia/Seoul,1651604400,284.41,283.6,77
44,Asia/Seoul,1651608000,284.41,283.63,78
45,Asia/Seoul,1651611600,284.29,283.52,79
46,Asia/Seoul,1651615200,284.27,283.5,79
47,Asia/Seoul,1651618800,284.41,283.65,79
48,Asia/Seoul,1651622400,284.64,283.88,78
49,Asia/Seoul,1651626000,284.6,283.84,78
50,Asia/Seoul,1651629600,284.58,283.84,79
51,Asia/Seoul,1651633200,284.67,283.94,79
52,Asia/Seoul,1651636800,284.71,284.01,80
53,Asia/Seoul,1651640400,284.81,284.15,81
54,Asia/Seoul,1651644000,285.02,284.38,81
55,Asia/Seoul,1651647600,285.04,284.43,82
56,Asia/Seoul,1651651200,285.06,284.47,83
57,Asia/Seoul,1651654800,285.04,284.48,84
58,Asia/Seoul,1651658400,284.98,284.44,85
59,Asia/Seoul,1651662000,284.93,284.38,85
60,Asia/Seoul,1651665600,285.04,284.48,84
61,Asia/Seoul,1651669200,285.04,284.48,84
62,Asia/Seoul,1651672800,285.08,284.52,84
63,Asia/Seoul,1651676400,284.94,284.37,84
64,Asia/Seoul,1651680000,284.92,284.37,85
65,Asia/Seoul,1651683600,284.87,284.32,85
66,Asia/Seoul,1651687200,284.7,284.16,86
67,Asia/Seoul,1651690800,284.61,284.03,85
68,Asia/Seoul,1651694400,284.71,284.11,84
69,Asia/Seoul,1651698000,284.71,284.09,83
70,Asia/Seoul,1651701600,284.69,284.07,83
71,Asia/Seoul,1651705200,284.81,284.17,82
72,Asia/Seoul,1651708800,284.87,284.24,82
73,Asia/Seoul,1651712400,284.96,284.34,82
74,Asia/Seoul,1651716000,284.95,284.35,83
75,Asia/Seoul,1651719600,285.01,284.44,84
76,Asia/Seoul,1651723200,285.11,284.58,85
77,Asia/Seoul,1651726800,285.14,284.67,87
78,Asia/Seoul,1651730400,285.37,284.92,87
79,Asia/Seoul,1651734000,285.57,285.11,86
80,Asia/Seoul,1651737600,285.61,285.16,86
81,Asia/Seoul,1651741200,285.6,285.15,86
82,Asia/Seoul,1651744800,285.75,285.34,87
83,Asia/Seoul,1651748400,285.48,285.07,88
84,Asia/Seoul,1651752000,285.73,285.37,89
85,Asia/Seoul,1651755600,285.59,285.24,90
86,Asia/Seoul,1651759200,285.64,285.29,90
87,Asia/Seoul,1651762800,285.5,285.17,91
88,Asia/Seoul,1651766400,285.41,285.07,91
89,Asia/Seoul,1651770000,285.63,285.26,89
90,Asia/Seoul,1651773600,285.76,285.37,88
91,Asia/Seoul,1651777200,285.75,285.36,88
92,Asia/Seoul,1651780800,285.71,285.32,88
93,Asia/Seoul,1651784400,285.76,285.37,88
94,Asia/Seoul,1651788000,285.65,285.28,89
95,Asia/Seoul,1651791600,285.65,285.31,90
96,Asia/Seoul,1651795200,285.9,285.61,91
97,Asia/Seoul,1651798800,286.06,285.78,91
98,Asia/Seoul,1651802400,286.06,285.78,91
99,Asia/Seoul,1651806000,286.16,285.92,92
100,Asia/Seoul,1651809600,286.22,286.01,93
101,Asia/Seoul,1651813200,286.52,286.34,93
102,Asia/Seoul,1651816800,286.89,286.72,92
103,Asia/Seoul,1651820400,287.09,286.97,93
104,Asia/Seoul,1651824000,287.13,287.01,93
105,Asia/Seoul,1651827600,287.21,287.1,93
106,Asia/Seoul,1651831200,287.19,287.1,94
107,Asia/Seoul,1651834800,286.94,286.83,94
108,Asia/Seoul,1651838400,286.84,286.75,95
109,Asia/Seoul,1651842000,286.57,286.47,96
110,Asia/Seoul,1651845600,286.42,286.31,96
111,Asia/Seoul,1651849200,286.11,285.99,97
112,Asia/Seoul,1651852800,285.76,285.64,98
113,Asia/Seoul,1651856400,285.62,285.51,99
114,Asia/Seoul,1651860000,285.53,285.43,100
115,Asia/Seoul,1651863600,285.32,285.2,100
116,Asia/Seoul,1651867200,285.12,284.96,99
117,Asia/Seoul,1651870800,285.13,284.97,99
118,Asia/Seoul,1651874400,285.42,285.16,94
119,Asia/Seoul,1651878000,285.18,284.81,91
120,Europe/London,1651449600,281.75,281.75,93
121,Europe/London,1651453200,281.69,281.69,93
122,Europe/London,1651456800,281.74,281.74,92
123,Europe/London,1651460400,281.77,281.77,92
124,Europe/London,1651464000,281.61,281.61,92
125,Europe/London,1651467600,281.68,281.68,91
126,Europe/London,1651471200,282.31,282.31,91
127,Europe/London,1651474800,282.98,282.98,88
128,Europe/London,1651478400,283.83,283.12,83
129,Europe/London,1651482000,285.1,284.39,78
130,Europe/London,1651485600,286.02,285.27,73
131,Europe/London,1651489200,286.33,285.61,73
132,Europe/London,1651492800,286.81,286.11,72
133,Europe/London,1651496400,287.51,286.75,67
134,Europe/London,1651500000,287.88,287.11,65
135,Europe/London,1651503600,288.75,287.98,62
136,Europe/London,1651507200,288.83,288.07,62
137,Europe/London,1651510800,288.36,287.61,64
138,Europe/London,1651514400,287.69,286.98,68
139,Europe/London,1651518000,286.99,286.31,72
140,Europe/London,1651521600,286.08,285.41,76
141,Europe/London,1651525200,285.59,284.93,78
142,Europe/London,1651528800,285.12,284.49,81
143,Europe/London,1651532400,284.71,284.06,82
144,Europe/London,1651536000,284.47,283.82,83
145,Europe/London,1651539600,284.17,283.55,85
146,Europe/London,1651543200,284.01,283.37,85
